customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid,subscription_duration_days,cohort_month,is_churned,status
154536156,2022-09-01,,39,month,Yes,,2022-09,False,Active
149713408,2022-09-01,2022-09-02,39,month,No,1.0,2022-09,True,Cancelled
153756284,2022-09-01,2022-09-02,39,month,No,1.0,2022-09,True,Cancelled
121253113,2022-09-01,2022-09-23,39,month,Yes,22.0,2022-09,True,Cancelled
154467210,2022-09-01,2023-06-29,39,month,Yes,301.0,2022-09,True,Cancelled
154510811,2022-09-01,2023-05-08,39,month,Yes,249.0,2022-09,True,Cancelled
154494346,2022-09-01,2022-11-26,39,month,Yes,86.0,2022-09,True,Cancelled
148671505,2022-09-01,2022-11-23,39,month,Yes,83.0,2022-09,True,Cancelled
154568379,2022-09-01,2022-10-25,39,month,Yes,54.0,2022-09,True,Cancelled
154428434,2022-09-01,2022-10-31,39,month,Yes,60.0,2022-09,True,Cancelled
154601651,2022-09-01,2022-09-26,39,month,Yes,25.0,2022-09,True,Cancelled
122824692,2022-09-01,2022-09-15,39,month,Yes,14.0,2022-09,True,Cancelled
152925600,2022-09-02,,39,month,Yes,,2022-09,False,Active
151154171,2022-09-02,2022-09-02,39,month,Yes,0.0,2022-09,True,Cancelled
154640950,2022-09-02,2022-12-09,39,month,Yes,98.0,2022-09,True,Cancelled
154617329,2022-09-02,2022-10-27,39,month,Yes,55.0,2022-09,True,Cancelled
154089211,2022-09-02,2022-10-09,39,month,Yes,37.0,2022-09,True,Cancelled
154653820,2022-09-02,2022-09-26,39,month,Yes,24.0,2022-09,True,Cancelled
154131290,2022-09-03,,39,month,Yes,,2022-09,False,Active
154434009,2022-09-03,,39,month,Yes,,2022-09,False,Active
136108848,2022-09-03,2022-09-04,39,month,Yes,1.0,2022-09,True,Cancelled
135185873,2022-09-03,2023-05-10,39,month,Yes,249.0,2022-09,True,Cancelled
154592664,2022-09-03,2023-04-01,39,month,Yes,210.0,2022-09,True,Cancelled
119436804,2022-09-03,2023-04-10,39,month,Yes,219.0,2022-09,True,Cancelled
152929657,2022-09-03,2022-11-23,39,month,Yes,81.0,2022-09,True,Cancelled
154708974,2022-09-03,2022-10-18,39,month,Yes,45.0,2022-09,True,Cancelled
154567722,2022-09-03,2022-09-29,39,month,Yes,26.0,2022-09,True,Cancelled
154719788,2022-09-03,2022-09-25,39,month,Yes,22.0,2022-09,True,Cancelled
154809306,2022-09-04,2022-09-05,39,month,Yes,1.0,2022-09,True,Cancelled
140391539,2022-09-04,2023-04-05,39,month,Yes,213.0,2022-09,True,Cancelled
153194806,2022-09-04,2023-04-16,39,month,Yes,224.0,2022-09,True,Cancelled
